TimeStamp,State_ID,State_ClassName,State_Title,State_ScreenshotPath,State_NumberOfElements
11/02/2014 9:27:20 PM,S1,QuickReferenceActivity ,,,1,
11/02/2014 9:27:45 PM,S2,QuickReferenceActivity ,,,7,
11/02/2014 9:27:46 PM,S3,CompRulesActivity ,,,6,
11/02/2014 9:27:48 PM,S4,CompRulesDetailActivity ,,,2,
11/02/2014 9:27:52 PM,S5,CompRulesDisplayActivity ,,,2,
11/02/2014 9:27:57 PM,S6,CompRulesActivity ,,,15,
11/02/2014 9:27:59 PM,S7,CompRulesActivity ,,,6,
11/02/2014 9:27:59 PM,S8,CompRulesActivity ,,,6,
11/02/2014 9:28:02 PM,S9,CompRulesActivity ,,,11,
11/02/2014 9:28:03 PM,S10,DeckListCounterActivity ,,,8,
11/02/2014 9:28:06 PM,S11,DeckListCounterActivity ,,,8,
11/02/2014 9:28:07 PM,S12,DeckListCounterActivity ,,,8,
11/02/2014 9:28:09 PM,S13,DeckListCounterActivity ,,,8,
11/02/2014 9:28:10 PM,S14,DeckListCounterActivity ,,,8,
11/02/2014 9:28:18 PM,S15,QuickReferenceActivity ,,,1,
